Latitude (degree),Longitude(degree),Region,Ocean,Marine Setting,Microplastics measurement,Unit,Year,Month,current_speed,temperature,salinity,Sampling Method,Mesh size (mm)
45.28,-60.29,Not Specified,Atlantic Ocean,Ocean water,0.0,pieces/m3,1989,7,0.15041609,2.555,30.387,Neuston net,0.335
40.93,-70.65,Not Specified,Atlantic Ocean,Ocean water,0.002276,pieces/m3,1989,10,0.13366002,10.411,32.912,Neuston net,0.335
40.93,-70.65,Not Specified,Atlantic Ocean,Ocean water,0.00432,pieces/m3,1989,10,0.13366002,10.411,32.912,Neuston net,0.335
40.3,-69.77,Not Specified,Atlantic Ocean,Ocean water,0.0,pieces/m3,1989,10,0.094366305,9.307,32.472,Neuston net,0.335
39.88,-67.15,Not Specified,Atlantic Ocean,Ocean water,0.0,pieces/m3,1989,10,0.06463745,8.288,32.813,Neuston net,0.335
37.83,-63.73,Not Specified,Atlantic Ocean,Ocean water,0.043196,pieces/m3,1989,10,0.8036168,22.293,36.824,Neuston net,0.335
37.83,-63.73,Not Specified,Atlantic Ocean,Ocean water,0.535636,pieces/m3,1989,10,0.8036168,22.293,36.824,Neuston net,0.335
36.9,-63.38,Not Specified,Atlantic Ocean,Ocean water,0.069116,pieces/m3,1989,10,0.36040673,20.382,36.627,Neuston net,0.335
36.9,-63.38,Not Specified,Atlantic Ocean,Ocean water,0.084232,pieces/m3,1989,10,0.36040673,20.382,36.627,Neuston net,0.335
35.7,-61.98,Not Specified,Atlantic Ocean,Ocean water,0.299496,pieces/m3,1989,10,0.28178895,20.313,36.698,Neuston net,0.335
34.7,-61.98,Not Specified,Atlantic Ocean,Ocean water,0.01152,pieces/m3,1989,10,0.23844706,20.826,36.707,Neuston net,0.335
34.87,-57.38,Not Specified,Atlantic Ocean,Ocean water,0.035992,pieces/m3,1989,10,0.11682893,20.754,36.668,Neuston net,0.335
34.87,-57.38,Not Specified,Atlantic Ocean,Ocean water,0.00864,pieces/m3,1989,10,0.11682893,20.754,36.668,Neuston net,0.335
32.65,-57.2,Not Specified,Atlantic Ocean,Ocean water,0.028232,pieces/m3,1989,10,0.16811901,20.834,36.743,Neuston net,0.335
